country,Parent,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Albania,root,3.289483,3.291695,3.266983,3.224901,3.179442,3.141102,3.112597,3.091902,3.079037,3.072725,3.071856,3.077378,3.089778,3.106701,3.124861,3.1418,3.156607,3.169665,3.181397,3.192723,3.204284,3.215988
Armenia,root,3.544695,3.512051,3.44994,3.370373,3.29054,3.223173,3.172185,3.134836,3.109101,3.090624,3.076098,3.06581,3.061067,3.060554,3.062612,3.065954,3.069844,3.074181,3.079087,3.084979,3.092072,3.100236
Austria,root,7.670513,7.719577,7.778255,7.839625,7.894229,7.935624,7.960464,7.971553,7.976117,7.984694,8.004712,8.03848,8.083059,8.134235,8.185553,8.232196,8.273208,8.309783,8.341806,8.369639,8.393644,8.413429
Azerbaijan,root,7.211692,7.32757,7.445925,7.562075,7.669735,7.764798,7.84531,7.913692,7.975648,8.039312,8.110723,8.191464,8.280252,8.376733,8.479668,8.587902,8.701719,8.821012,8.9436,9.066604,9.187783,9.306023
Belgium,root,9.949019,9.976325,10.004469,10.032084,10.057529,10.079873,10.098192,10.113392,10.128653,10.148371,10.175684,10.211264,10.254025,10.303108,10.356993,10.414209,10.474993,10.538758,10.602167,10.660938,10.712066,10.754056
Bulgaria,root,8.818915,8.743034,8.651284,8.550495,8.449971,8.356624,8.273011,8.198008,8.130284,8.067041,8.006158,7.947761,7.892666,7.840117,7.78918,7.739115,7.68952,7.640283,7.591322,7.542674,7.494332,7.446135
Bosnia and Herzegovina,root,4.308197,4.157485,3.931372,3.677379,3.462032,3.332098,3.305672,3.365616,3.480285,3.601438,3.693698,3.74837,3.775883,3.782717,3.781358,3.781001,3.781588,3.779034,3.774164,3.767683,3.760149,3.752228
Belarus,root,10.2597,10.284522,10.298479,10.301336,10.293127,10.274231,10.244354,10.204382,10.157409,10.107518,10.05781,10.00981,9.963383,9.917927,9.87211,9.825102,9.776823,9.728228,9.68069,9.636016,9.595421,9.559441
Switzerland,root,6.673738,6.740104,6.814701,6.891266,6.961228,7.018702,7.060963,7.090483,7.112948,7.13674,7.167908,7.207987,7.254975,7.307078,7.361231,7.415007,7.46835,7.521613,7.573204,7.621211,7.664318,7.70169
Cyprus,root,0.5794,0.5949,0.6106,0.6258,0.639,0.6507,0.6609,0.6704,0.6789,0.6864,0.6936,0.7013,0.7096,0.7206,0.7371,0.758,0.7709,0.7853,0.793,0.7997,0.809361,0.818834
Czech Republic,root,10.302718,10.30713,10.313662,10.319923,10.322561,10.319337,10.310016,10.295984,10.278707,10.260335,10.24289,10.225701,10.2095,10.199327,10.201665,10.220638,10.258796,10.313525,10.377359,10.439735,10.49296,10.534293
