Anna,root,553,531,572,564,563,574,630,617,660,693,691,719,838,697,663,613,613,616,595,598,570,643
Anne,root,318,353,385,431,477,531,565,520,596,580,749,787,868,949,968,976,915,927,953,921,901,877
Anouk,root,169,209,256,329,397,446,492,491,596,682,617,648,652,655,870,955,960,613,602,595,655,631
Bas,root,220,219,241,242,291,304,325,335,438,414,442,539,543,619,655,618,623,646,631,593,578,641
Bram,root,730,746,835,636,625,644,598,607,609,666,739,795,721,771,764,727,741,618,552,529,507,499
Charlotte,root,210,228,276,314,289,254,275,295,270,300,317,342,358,409,414,425,406,439,468,491,505,429
Cornelis,root,182,172,176,205,190,207,232,255,261,239,277,323,388,347,383,412,424,423,448,495,510,504
Daan,root,751,724,864,866,812,902,912,830,911,959,1030,1094,1238,1098,986,916,913,655,665,509,540,460
Daniël,root,308,287,308,361,370,374,440,416,475,501,540,514,611,605,577,583,583,632,556,591,574,602
David,root,285,308,299,319,339,309,319,351,350,375,378,435,381,400,450,432,405,463,461,445,378,397
Eline,root,264,258,260,311,362,338,379,344,370,396,392,410,395,369,461,419,496,498,466,505,535,515
Eva,root,562,539,577,600,649,595,606,598,617,663,626,679,686,717,715,656,675,557,567,558,538,515
Femke,root,307,348,401,430,427,483,450,501,574,531,691,695,665,750,695,641,584,521,442,353,328,286
Ilse,root,164,166,189,189,257,298,299,304,294,323,442,438,508,573,611,583,342,309,291,281,322,362
Iris,root,254,298,300,349,403,403,507,572,605,688,709,802,811,847,895,871,875,854,815,886,1030,1059
Jan,root,340,344,341,419,391,415,465,434,496,489,534,601,558,638,660,722,662,744,683,750,736,779
Jasper,root,206,227,280,326,377,378,395,445,454,521,534,584,581,550,529,568,583,534,536,579,517,564
Jelle,root,192,221,235,227,276,301,311,290,360,347,384,446,493,500,579,615,601,608,515,536,471,420
Johanna,root,169,171,179,204,198,240,230,253,250,304,296,361,379,384,466,438,498,481,527,540,661,707
Johannes,root,199,233,251,285,307,314,300,350,355,371,449,503,487,583,646,663,671,690,809,798,926,965
Koen,root,245,255,270,328,352,389,414,400,427,419,444,477,488,503,532,567,615,581,559,542,606,589
Lars,root,508,518,596,653,642,732,737,674,824,793,882,947,959,952,876,882,819,757,748,625,583,457
Lieke,root,475,480,520,621,643,694,719,673,644,598,463,519,408,433,349,326,259,279,268,250,248,258
Lisa,root,520,576,601,618,642,621,556,601,683,655,687,821,894,923,1028,1036,973,962,988,988,1036,1058
Lotte,root,524,548,575,629,678,658,644,712,630,664,779,691,726,698,755,706,720,624,596,576,489,473
Maria,root,198,215,229,254,265,322,295,306,341,363,394,434,439,500,520,534,544,537,666,693,773,868
Merel,root,159,183,186,176,210,235,224,277,373,411,439,466,453,507,553,514,494,417,358,322,349,284
Mohamed,root,214,223,245,256,245,297,263,257,287,265,310,333,302,339,351,294,286,291,294,238,244,266
Naomi,root,278,296,285,352,394,394,394,396,427,452,528,579,606,636,633,631,598,585,595,590,528,391
Nick,root,175,258,285,363,393,475,509,455,494,550,624,571,675,740,809,946,875,786,717,768,802,899
Niels,root,209,223,275,324,363,383,443,465,515,614,665,687,744,782,879,835,868,766,730,768,727,706
Nikki,root,210,224,250,269,295,396,414,301,337,317,345,292,288,325,306,304,300,237,193,227,250,278
Pieter,root,211,240,236,227,247,273,267,278,268,305,304,368,401,379,448,400,428,429,432,447,436,486
Robin,root,186,204,244,269,539,524,318,530,582,678,787,825,838,1034,1003,1062,1080,1101,1077,1121,1176,1156
Ruben,root,508,542,578,666,664,808,744,816,654,612,576,662,680,693,652,687,707,636,578,670,633,583
Sanne,root,384,434,451,541,609,638,704,728,733,752,872,991,1074,1070,1093,1118,1181,1000,959,916,844,775
Sophie,root,826,707,658,690,781,758,802,664,766,597,529,589,559,598,539,557,539,418,359,340,319,313
Sven,root,406,421,483,477,492,628,662,670,672,586,503,603,561,548,525,516,490,433,354,384,357,338
Tessa,root,225,282,241,263,345,369,385,404,420,413,480,497,563,622,563,470,533,520,552,619,559,533
Thijs,root,538,587,670,665,698,702,784,749,804,794,659,669,697,644,633,599,543,466,489,431,409,386
Thomas,root,523,585,588,666,690,750,782,786,836,841,923,1136,1241,1276,1195,1138,1270,1135,1126,1175,1191,1088
Tim,root,542,584,640,667,725,754,830,851,804,831,894,1012,1051,1063,1110,1164,1121,1061,1128,977,1049,949
Tom,root,251,264,316,323,353,417,418,445,495,496,568,655,691,767,808,802,837,765,723,792,826,825
