Naam zender,Parent,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ned1,root,11.1,11.9,13.1,17.8,21.1,20,21.5,19.1,21.4,18.9,21.7,19.4
Ned2,root,18.4,15.1,13.5,6.9,6.8,6.7,6.8,6.5,6.8,6.4,6.3,6.2
Ned3,root,6.6,6.3,6.2,6.6,7,7.2,6.5,6.4,6.4,6.6,5.2,5
RTL4,root,15.4,14.7,13.6,12.9,12.7,13.6,14.4,15.5,13.8,14.9,14.6,15.2
RTL5,root,4.3,4.6,5.5,5.3,4.5,4.4,4,4.1,3.2,3.2,3.1,2.9
RTL7,root,0,4.2,4,4.6,4.6,4.5,4.6,4.8,4.7,4.7,4.3,4.4
RTL8,root,0,0,0,0.7,1.8,1.7,1.7,1.8,1.7,1.8,1.9,2.1
RTL Crime,root,0,0,0,0,0,0,0,0,0,0,0.1,0.2
RTL Lounge,root,0,0,0,0,0,0,0,0,0,0,0.1,0.1
RTL Z,root,0,0,0,0,0,0,0,0,0,0,0,0.5
Yorin,root,4.4,0,0,0,0,0,0,0,0,0,0,0
SBS6,root,9.6,9.8,9.6,10,10.9,10.9,10,9.1,7.8,7.3,7.2,7.7
Net5,root,4.3,4.3,4,4.5,4.9,4.3,3.5,3.3,3.2,3.6,3.2,3.4
Veronica,root,2.8,3,3.3,3.7,3.5,3.2,3.1,3.4,3,3.1,3.1,2.8
SBS 9,root,0,0,0,0,0,0,0,0,0,0,0,0.7
Tien,root,0,0,4.4,3,0,0,0,0,0,0,0,0
Talpa,root,0,2.2,0,0,0,0,0,0,0,0,0,0
MTF,root,0.6,0.7,0.7,0.8,0.7,0.8,0.8,0.7,0.7,0.9,0.7,0.6
TMF,root,0.8,0.8,0.6,0.8,0.7,0.7,0.5,0.1,0,0,0,0
Kindernet,root,0,0,0,0,0,0,0,0.2,0.2,0,0,0
Comedy,root,0,0,0.4,0.7,0.9,1,1,1.2,1.4,2,1.9,1.7
The Box,root,0.3,0.3,0,0,0,0,0,0,0,0,0,0
Nickolodeon,root,2.4,2.2,1.8,2.1,2.2,2.1,1.8,1.8,1.8,1.6,1.2,3.4
Spike,root,0,0,0,0,0,0,0,0,0,0,0,0.2
TeenNick,root,0,0,0,0,0,0,0,0.2,0.3,0.2,0.2,0.1
Jetix,root,0,2.2,1.9,1.8,1.7,1.6,0,0,0,0,0,0
FoxKids,root,2.1,0,0,0,0,0,0,0,0,0,0,0
Disney XD,root,0,0,0,0,0,0,1.6,1.4,1.3,1,0.7,0.6
Disney channel,root,0,0,0,0,0,0.1,0.5,0.4,0.6,0.6,0.5,0.5
Discovery channel,root,1.5,1.7,1.7,1.7,1.8,1.8,1.5,1.5,1.6,1.9,1.9,1.8
National Geographic channel,root,0.6,0.7,0.7,0.8,0.8,0.8,1.1,1.2,1.1,1.2,1.2,1.4
Animal planet,root,0.5,0.7,0.8,0.7,0.9,1.1,1,0.6,0.4,0.4,0,0
TLC,root,0,0,0,0,0,0,0,0.2,0.5,1.5,0.7,1.7
ID,root,0,0,0,0,0,0,0,0,0,0.6,0.7,0.7
24Kitchen,root,0,0,0,0,0,0,0,0,0.3,0.4,0.4,0.4
Fox,root,0,0,0,0,0,0,0,0,0,0.8,0.9,1.2
Fox Sports *,root,0,0,0,0,0,0,0,0,0,0.6,0.7,0.8
Eurosport,root,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.7,0.6,0.7
AT5,root,0,0.2,0.3,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
Regionale zenders,root,2.2,2.1,2.1,2,1.9,1.8,1.7,1.7,1.7,1.7,1.5,1.4
Video,root,2.9,2.3,2,1.5,0,0,0,0.2,0.2,0.1,0,0.1
DVD,root,2,3.2,3.5,3.8,0,0,0,2.1,1.9,1.5,1.1,1.3
HD,root,0,0,0.4,1,0,0,0,2.7,3.4,3.9,4.3,4.8
Overige zenders,root,6.4,5.9,5.1,5.2,5.3,10.6,11.6,8.7,8.9,3.6,4.8,5.8
