Testing,Parent,0,1,2,3,4,5,6,7,8
heuristicNew,code,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
regression,root,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
code,root,0.0,0.0,0.0,5.0,5.000000009313226,5.100000001490116,5.209000000730157,5.850000023841858,6.5
extra,root,0.5,0.5099999904632568,0.5,0.5099999904632568,0.5,0.5099999904632568,0.5,0.5099999904632568,0.5
sa,layout,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
constraints-h,layout,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cushionNew,code,0.0,0.0,0.0,1.0,0.9900000095367432,1.0,1.0,1.0,1.0
layout,root,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
unit,root,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
constraints-t,layout,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cushion,rendering,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
saNew,code,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
queue,rendering,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
constraints,layout,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
queueNew,code,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
constraintsNew,code,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
rendering,root,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
CMakeList,code,0.0,0.0,0.0,0.0,0.009999999776482582,0.10000000149011612,0.19900000095367432,0.6000000238418579,1.0
tests,root,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
readme,code,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,0.25,0.5
