Testing,Parent,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Czechia,EasternEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10331.0,10336.0,10331.0,10315.0,10303.6416015625,10294.943359375,10282.7841796875,10272.5029296875,10224.1923828125,10200.7744140625,10201.6513671875,10197.1005859375,10211.2158203125,10238.9052734375,10298.828125,10384.6025390625,10443.935546875,10474.41015625,10496.087890625,10510.7861328125,10510.71875,10524.783203125,10542.9423828125,10553.8427734375
Uzbekistan,OtherAreas(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20862.0,21360.0,21852.0,22282.0,22690.0,23130.0,23560.400390625,24051.0,23953.921875,24650.4140625,24964.43359375,25271.830078125,25567.662109375,25707.400390625,26021.30078125,26488.2578125,26867.998046875,27302.78125,27767.408203125,28562.404296875,29339.3671875,29774.447265625,30243.171875,30757.669921875,31298.9296875,31298.9296875
EasternEurope(pre-USSR),root,89340.0,90074.0,90827.0,91489.0,92066.0,92663.0,93178.0,93674.0,94134.0,94577.0,94966.0,95305.0,95633.0,95947.0,96140.0,96343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EastGermany,WesternEurope,16850.0,16786.0,16765.0,16756.0,16745.0,16737.0,16736.0,16697.0,16699.0,16671.0,16644.0,16624.0,16641.0,16666.0,16630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,EasternEurope(pre-USSR),10532.0,10589.0,10637.0,10673.0,10698.0,10711.0,10712.0,10683.0,10656.0,10619.0,10579.0,10534.0,10486.0,10443.0,10398.0,10365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechoslovakia,EasternEurope(pre-USSR),14820.0,14918.0,15030.0,15137.0,15237.0,15311.0,15320.0,15369.0,15414.0,15458.0,15499.0,15534.0,15572.0,15607.0,15638.0,15661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RussianFederation,EasternEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148245.0,148310.0,148146.0,148408.0,148376.0,148160.0,147915.359375,147670.78125,147214.78125,146596.875,145976.484375,145306.5,144648.625,144067.3125,143518.8125,143049.640625,142805.109375,142742.359375,142785.34375,142849.46875,142960.90625,143201.734375,143507.0,143507.0,143507.0,143507.0
SanMarino,SouthernEurope,20.0,20.0,20.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,25.0,25.0,25.0,25.822999954223633,27.684999465942383,28.106000900268555,26.94099998474121,27.634000778198242,28.486000061035156,28.992000579833984,29.457000732421875,29.836000442504883,30.18400001525879,31.211000442504883,31.66200065612793,33.066001892089844,33.27000045776367,33.388999938964844,33.518001556396484,33.46900177001953,33.64799880981445,33.737998962402344,34.00600051879883
Finland,NorthernEurope(pre-USSR),4711.0,4726.0,4739.0,4753.0,4765.0,4780.0,4800.0,4827.0,4856.0,4882.0,4902.0,4918.0,4932.0,4946.0,4964.0,4986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,WesternEurope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79500.0,79984.0,80570.0,81187.0,81422.0,81661.0,81896.0,82051.6953125,82028.9453125,82086.578125,82187.6171875,82339.7734375,82482.3125,82520.1796875,82501.2734375,82464.34375,82365.8125,82262.640625,82119.7734375,81874.7734375,81757.46875,80274.984375,80425.8203125,80645.6015625,80982.5,81686.6640625,82175.6875
Albania,SouthernEurope,2401.0,2454.0,2508.0,2563.0,2617.0,2671.0,2724.0,2780.0,2838.0,2897.0,2957.0,3016.0,3076.0,3138.0,3199.0,3256.0,3255.0,3363.0,3485.0,3035.0,3050.0,3076.0,3074.83203125,3055.3310546875,3053.8310546875,3060.907958984375,3073.73291015625,3093.465087890625,3033.657958984375,3014.577880859375,3011.487060546875,2992.547119140625,2970.01708984375,2947.31396484375,2927.51904296875,2913.02099609375,2904.780029296875,2900.489013671875,2897.364013671875,2894.125,2889.1669921875,2886.02587890625
PolandNew,EasternEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38245.0,38365.0,38459.0,38544.0,38588.0,38289.0,38292.0,38283.0,38270.0,38255.9453125,38250.7890625,38232.30078125,38195.17578125,38180.25,38161.3125,38132.17578125,38115.96875,38115.91015625,38153.390625,38042.40234375,38051.03125,38059.1328125,38031.6328125,38006.15234375,37981.58984375,37967.2109375
Turkmenistan,OtherAreas(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3753.0,4032.0,4308.0,4406.0,4509.0,4569.0,4569.0,4859.0,4859.0,4891.59814453125,4973.9619140625,5051.81689453125,5123.93994140625,5123.93994140625,5123.93994140625,5123.93994140625,5123.93994140625,5123.93994140625,5123.93994140625,5123.93994140625,5123.93994140625,5123.93994140625,5123.93994140625,5123.93994140625,5123.93994140625,5662.5439453125
Luxembourg,WesternEurope,358.0,361.0,361.0,362.0,363.0,364.0,365.0,366.0,366.0,366.0,367.0,368.0,371.0,374.0,378.0,382.0,387.0,390.0,397.0,403.0,409.0,414.0,419.45001220703125,424.70001220703125,430.4750061035156,436.29998779296875,441.5249938964844,446.17498779296875,451.6310119628906,458.0950012207031,465.1579895019531,472.6369934082031,479.9930114746094,488.6499938964844,497.7820129394531,506.9530029296875,518.3469848632812,530.9459838867188,543.3599853515625,556.3189697265625,569.60400390625,576.2490234375
UnitedKingdom,NorthernEurope(pre-USSR),56215.0,56206.0,56209.0,56178.0,56242.0,56330.0,56352.0,56306.0,56347.0,56506.0,56685.0,56852.0,57009.0,57158.0,57358.0,57561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,WesternEurope,9795.0,9811.0,9822.0,9830.0,9837.0,9847.0,9852.0,9856.0,9856.0,9855.0,9858.0,9862.0,9870.0,9902.0,9938.0,9967.0,9979.0,10045.0,10084.0,10116.0,10137.0,10157.0,10181.2451171875,10203.0078125,10226.4189453125,10251.25,10286.5703125,10332.78515625,10372.46875,10417.1220703125,10472.841796875,10541.892578125,10622.603515625,10709.97265625,10796.4931640625,10895.6376953125,11043.7880859375,11128.24609375,11182.8173828125,11231.212890625,11284.7763671875,11311.1171875
BulgariaNew,EasternEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8982.0,8540.0,8472.0,8444.0,8406.0,8363.0,8312.068359375,8256.7861328125,8210.6240234375,8170.171875,7913.30078125,7868.89990234375,7823.55712890625,7781.1611328125,7739.89990234375,7699.02001953125,7659.76416015625,7623.39501953125,7585.130859375,7534.2890625,7348.328125,7305.88818359375,7263.85888671875,7223.93701171875,7177.9912109375,7153.7841796875
Slovakia,EasternEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5325.0,5347.0,5364.0,5374.0,5383.23291015625,5390.8662109375,5395.32421875,5400.67919921875,5379.77978515625,5378.80908203125,5378.9501953125,5372.27978515625,5372.80712890625,5373.05419921875,5374.6220703125,5379.23291015625,5386.40576171875,5391.42822265625,5398.3837890625,5407.5791015625,5413.39306640625,5418.64892578125,5423.80078125,5431.0
Estonia,NorthernEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.0,1544.0,1517.0,1499.0,1437.0,1416.0,1399.5350341796875,1386.156005859375,1375.654052734375,1369.5150146484375,1364.1009521484375,1358.64404296875,1353.5570068359375,1362.550048828125,1354.7750244140625,1346.81005859375,1340.6800537109375,1337.0899658203125,1334.5150146484375,1331.4749755859375,1327.43896484375,1322.696044921875,1317.9969482421875,1314.5450439453125,1314.6080322265625,1315.9439697265625
Netherlands,WesternEurope,13653.0,13770.0,13853.0,13937.0,14030.0,14144.0,14246.0,14310.0,14362.0,14420.0,14484.0,14564.0,14665.0,14758.0,14849.0,14952.0,15070.0,15184.0,15290.0,15383.0,15459.0,15530.0,15610.650390625,15707.208984375,15812.087890625,15925.5126953125,16046.1796875,16148.9287109375,16225.3017578125,16281.779296875,16319.8681640625,16346.1005859375,16381.6962890625,16445.59375,16530.388671875,16615.39453125,16693.07421875,16754.962890625,16804.431640625,16865.0078125,16939.923828125,16979.119140625
SovietUnion,OtherAreas(pre-USSR),254469.0,256760.0,259029.0,261253.0,263425.0,265542.0,267622.0,269901.0,272368.0,274874.0,277334.0,280016.0,282830.0,285419.0,286731.0,288595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia,SouthernEurope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.0,1991.0,1989.0,1988.0,1991.0,1986.8480224609375,1982.60302734375,1985.5570068359375,1990.27197265625,1992.0350341796875,1995.718017578125,1996.77294921875,1997.0040283203125,2001.114013671875,2008.5159912109375,2019.406005859375,2022.6290283203125,2042.3349609375,2049.260986328125,2052.49609375,2056.261962890625,2059.114013671875,2061.623046875,2063.076904296875,2064.18798828125
HungaryNew,EasternEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10346.0,10324.0,10294.0,10261.0,10229.0,10193.0,10154.900390625,10113.57421875,10067.5068359375,10024.2216796875,10187.576171875,10158.6083984375,10129.5517578125,10107.146484375,10087.0654296875,10071.3701171875,10055.7802734375,10038.1884765625,10022.650390625,10000.0234375,9971.7265625,9920.3623046875,9893.08203125,9866.4677734375,9843.0283203125,9830.4853515625
SerbiaandMontenegro,SouthernEurope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10448.0,10482.0,10516.0,10547.0,10577.0,10600.0,10617.0,10629.0,10634.0,10652.0,8114.0,8153.0,8147.0,8064.0458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lichtenstein,WesternEurope,24.0,24.0,24.0,25.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,30.0,30.0,30.0,31.0,31.0,31.23200035095215,32.01499938964844,32.42599868774414,32.67300033569336,33.104000091552734,33.678001403808594,34.02199935913086,34.47700119018555,34.73400115966797,35.0099983215332,35.321998596191406,35.44599914550781,35.78900146484375,36.0099983215332,36.28099822998047,36.63600158691406,36.94200134277344,37.21500015258789,37.46799850463867,37.62200164794922
Malta,SouthernEurope,328.0,329.0,332.0,313.0,316.0,319.0,322.0,325.0,328.0,337.0,340.0,342.0,344.0,347.0,351.0,354.0,358.0,358.0,373.0,369.0,377.0,374.0,376.51300048828125,378.51800537109375,380.20098876953125,382.5249938964844,385.0769958496094,386.93798828125,398.5820007324219,401.3059997558594,403.8789978027344,405.3550109863281,406.77801513671875,409.4289855957031,412.5299987792969,414.56201171875,416.3179931640625,419.5069885253906,423.4309997558594,427.4209899902344,431.9360046386719,434.40301513671875
Croatia,SouthernEurope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4470.0,4641.0,4649.0,4669.0,4494.0,4572.47412109375,4501.14892578125,4553.76904296875,4426.23291015625,4439.634765625,4440.384765625,4440.2900390625,4308.29296875,4310.14501953125,4311.1591796875,4310.216796875,4309.705078125,4305.18115234375,4295.4267578125,4280.6220703125,4267.55810546875,4255.68896484375,4238.38916015625,4203.60400390625,4190.6689453125
Montenegro,SouthernEurope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.2410278320312,626.10400390625,628.8040161132812,631.5360107421875,617.3040161132812,620.5560302734375,620.6010131835938,622.1489868164062,621.8099975585938,622.1589965820312,622.218017578125
